PROTEIN GROUP;GENE;DISTANZA DALL'ER;Q-VALUE DALL'ER;DISTANZA DAL REPLICOMA ;Q-VALUE REPLICOMA;RISULTATO;PREDICTED LOCALIZATION IN INF (analisi con proteine virali);DISTANZA DELLE DISTANCE;DISTANZA DELLE DISTANZE 0-1;TERZILI;top 25%
A0A087X142;SEPTIN8;0,6410214;0,003338369;0,7258861;0,004469357;Vicino all'ER;Mitochondria;0,0848647;0,210042244;;
Q86SF2;GALNT7;0,8220763;0,01706522;0,9067429;0,01649962;Vicino all'ER;Golgi apparatus;0,0846666;0,209436486;;
P36957;DLST;0,5433833;0,001227064;0,6280388;0,002142857;Vicino all'ER;Mitochondria;0,0846555;0,209402544;;
Q9NW13;RBM28;0,8518685;0,02211592;0,9364049;0,02057997;Vicino all'ER;Nucleus;0,0845364;0,209038356;;
Q9Y3D5;MRPS18C;0,6833081;0,005453384;0,7677583;0,006350832;Vicino all'ER;Mitochondria;0,0844502;0,20877477;;
A0A075B730;EPPK1;1,680524;1;1,764902;0,9337975;Vicino all'ER;Cytoplasm;0,084378;0,208553995;;
A0A994J4W5;TMEM87A;0,9539762;0,04919729;1,038305;0,04106973;Vicino all'ER;endosome-vesicle;0,0843288;0,208403549;;
Q13813;SPTAN1;0,4894293;0,000533537;0,5737189;0,00111399;Vicino all'ER;ER;0,0842896;0,208283682;;
Q96EE3;SEH1L;0,8988548;0,03194532;0,9831419;0,02904746;Vicino all'ER;Nucleus;0,0842871;0,208276037;;
A8MWD9;SNRPGP15;0,7219207;0,007593784;0,8061494;0,008251096;Vicino all'ER;Mitochondria;0,0842287;0,208097459;;
Q9HAN9;NMNAT1;0,4753968;0,00045;0,5595934;0,000884719;Vicino all'ER;ER;0,0841966;0,207999303;;
O15488;GYG2;1,206792;0,2383333;1,191203;0,09937617;Vicino al REPLICOMA;ER;0,015589;-0,001791587;;
O15031;PLXNB2;1,11107;0,1414419;1,194948;0,1017318;Vicino all'ER;PM;0,083878;0,207025076;;
P16070;CD44;0,9974378;0,06749739;1,081291;0,05330073;Vicino all'ER;PM;0,0838532;0,206949241;;
Q14314;FGL2;0,7483286;0,009414025;0,8320875;0,009766866;Vicino all'ER;Mitochondria;0,0837589;0,206660887;;
P33993;MCM7;1,039675;0,09137427;1,123379;0,06813869;Vicino all'ER;Nucleus;0,083704;0,206493012;;
Q9Y221;NIP7;1,160807;0,1854715;1,244487;0,1354577;Vicino all'ER;Nucleus;0,08368;0,206419624;;
A0A8J8YL86;NFIX;1,202332;0,2333492;1,286008;0,1697005;Vicino all'ER;Nucleus;0,083676;0,206407393;;
Q86Y79;PTRH1;0,8150275;0,01616119;0,8986669;0,01561313;Vicino all'ER;Mitochondria;0,0836394;0,206295476;;
Q9NVV4;MTPAP;0,7136305;0,007099109;0,7971233;0,007856328;Vicino all'ER;Mitochondria;0,0834928;0,205847197;;
Q9NYL2;MAP3K20;1,345623;0,4636726;1,429079;0,3375483;Vicino all'ER;Cytoplasm;0,083456;0,205734668;;
Q8NBP0;TTC13;0,369816;4,03E-05;0,4531477;0,000109649;Vicino all'ER;ER;0,0833317;0,205354579;;
O75084;FZD7;0,9010748;0,03246422;0,9842101;0,02910467;Vicino all'ER;PM;0,0831353;0,20475402;;
P09874;PARP1;0,6423451;0,003393393;0,7254711;0,004452774;Vicino all'ER;Nucleus;0,083126;0,204725582;;
Q16539;MAPK14;1,674214;1;1,757326;0,9218705;Vicino all'ER;protein-complex;0,083112;0,204682772;;
A0A0C4DH22;EPB41L1;0,9614497;0,05224916;1,044532;0,04247496;Vicino all'ER;PM;0,0830823;0,204591955;;
