T: T: Genes,C: Winner MOCK,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
TMEM9B,Golgi apparatus,-2.07535,-2.24953,-3.1379,-2.47094,-1.66134,-1.77583,-1.08275,0.433045,-3.37222,-2.63897,0.502196,-1.04234,Q9NQ34;Q9NQ34-2,TMM9B_HUMAN,Q9NQ34,Transmembrane protein 9B
FIG4,Translation,-1.0958,-0.994729,-3.82404,-1.16915,-1.90304,-1.43873,-1.30713,0.964354,-3.6592,-2.5902,-0.969177,-1.24476,Q92562;A0A6Q8PFJ3;A0A6Q8PG59;A0A6Q8PGB4;A0A6Q8PGC1;A0A6Q8PGY4;A0A6Q8PGY7;A0A6Q8PHA1;A0A6Q8PGW5;A0A6Q8PGP4;A0A6Q8PGW0;A0A6Q8PH92;A0A6Q8PF27;A0A6Q8PF62;A0A6Q8PF70;A0A6Q8PHK3;A0A6Q8PHP5;A0A6Q8PHC7;A0A6Q8PHH5,FIG4_HUMAN,Q92562,Polyphosphoinositide phosphatase
VPS53,Translation,-1.16831,-1.88739,-4.4742,-1.57007,-2.047,-1.88358,-1.25368,1.81101,-3.78881,-2.33267,-0.984459,-1.36569,Q5VIR6;A0A7P0T9V8;A0A7P0T9X9;A0A7P0T8P7;A0A7P0T8V1;A0A7P0T8V2;A0A7P0T9B2;A0A7P0T805;A0A7P0T874;F6VX93;A0A7P0TB80;A0A7P0TBJ8;A0A7P0TA79;A0A7P0TA82;A0A7P0TAF8;A0A7P0TAE0;A0A7P0TAK4;A0A7P0TB16;A0A7P0Z4K0;A0A7P0Z4Q7;A0A7P0Z400;A0A7P0Z461;Q5VIR6-1;Q5VIR6-2;Q5VIR6-3;I3L4P9;I3L184;I3L0S6,VPS53_HUMAN,Q5VIR6,Vacuolar protein sorting-associated protein 53 homolog
VAC14,Translation,-1.15863,-1.66338,-4.70901,-1.30943,-1.90239,-2.05713,-1.30326,1.50875,-3.72255,-2.26831,-1.06604,-1.44198,Q08AM6;H3BUU8,VAC14_HUMAN,Q08AM6,Protein VAC14 homolog
VPS51,Translation,-1.24172,-1.67446,-4.46804,-1.91646,-1.82219,-2.29527,-1.53242,1.65788,-3.98332,-2.44946,-1.11136,-1.19996,Q9UID3;Q9UID3-2,VPS51_HUMAN,Q9UID3,Vacuolar protein sorting-associated protein 51 homolog
ITFG2,Translation,-1.75282,-2.07667,-2.35842,-2.45711,-0.621803,-2.1785,-2.17099,1.17884,-3.19327,-2.41194,-1.64336,-0.999933,Q969R8;H0YG72;H0YFM4,ITFG2_HUMAN,Q969R8,KICSTOR complex protein ITFG2
WDR59,Mitochondria,-1.59272,-2.38564,-2.43645,-0.447649,-1.08424,0.299555,-2.24079,-0.770355,-3.84796,-3.0451,-1.3516,-1.13676,Q6PJI9;Q6PJI9-2;B7Z7V6,WDR59_HUMAN,Q6PJI9,GATOR complex protein WDR59
TBC1D5,protein-complex,-0.766118,0.183727,-4.73835,-2.43992,-1.93858,-1.94499,-1.45378,-1.20885,-3.95494,-2.30375,-1.32361,-1.18324,Q92609;C9J3F6;Q92609-2;C9JDR8,TBCD5_HUMAN,Q92609;Q92609-2,TBC1 domain family member 5
RUFY1,protein-complex,-0.814265,0.0359713,-4.46713,-3.8755,-0.318042,-1.36387,-1.64712,-2.42594,-2.99018,-1.9826,-1.33597,-1.53525,Q96T51;J3KPP6;Q96T51-2;Q96T51-3;H0Y9Y8,RUFY1_HUMAN,Q96T51,RUN and FYVE domain-containing protein 1
SEC31A,endosome-vesicle,0.0644274,-0.797069,-4.14536,-2.34481,-1.01899,-1.75098,-1.34494,-0.802958,-2.95562,-2.06953,-1.16936,-1.94312,D6REX3;H0Y9V3;O94979-7;H7BXG7,SC31A_HUMAN,O94979-7,"Isoform of O94979, Isoform 7 of Protein transport protein Sec31A"
SNX2,endosome-vesicle,1.02651,-1.14878,-4.3837,-3.07595,-1.38544,-1.5549,-1.69806,-2.28588,-2.24648,-2.0381,-1.44035,-1.55955,O60749;D6RC15;O60749-2,SNX2_HUMAN,O60749;O60749-2,Sorting nexin-2
SNX1;SNX2,endosome-vesicle,0.482944,-1.01194,-4.65481,-2.64651,-1.28206,-1.68962,-1.51669,-2.31355,-2.92967,-2.10465,-1.36667,-1.44131,Q13596;O60749;H0YK42;O60749-2;Q13596-2;Q13596-3,SNX1_HUMAN;SNX2_HUMAN,O60749;O60749-2;Q13596;Q13596-3,Sorting nexin-2
SNX1;SNX2,endosome-vesicle,0.470261,-0.9688,-4.57533,-2.71829,-1.06837,-1.68137,-1.52074,-2.25195,-2.94002,-2.11585,-1.44369,-1.47451,Q13596;O60749;H0YK42;O60749-2;Q13596-2,SNX1_HUMAN;SNX2_HUMAN,O60749;O60749-2;Q13596,Sorting nexin-2
SNX2,endosome-vesicle,0.752306,-0.809075,-4.2039,-2.48143,-0.688342,-1.642,-1.59923,-2.57255,-2.50527,-2.03456,-1.51674,-1.69081,O60749;D6RC15,SNX2_HUMAN,O60749,Sorting nexin-2
COPB1,Cytoplasm,-1.16843,-0.159554,-3.43401,-3.18643,0.184574,-1.41914,-0.891999,-4.96787,-3.28124,-2.07688,-1.6811,-1.33624,P53618,COPB_HUMAN,P53618,Coatomer subunit beta
ARCN1,protein-complex,-1.8697,1.04082,-2.19802,-2.57763,-0.154896,-1.37666,-1.50974,-5.1106,-3.21725,-2.0661,-1.41806,-1.4016,P48444;B0YIW6,COPD_HUMAN,P48444,Coatomer subunit delta
TRAPPC9,Cytoplasm,-2.55217,-2.2111,-2.08592,-2.06466,1.57484,-1.99401,-1.29525,-1.44056,-3.19787,-2.23564,-1.66442,-1.37884,Q96Q05;Q96Q05-2;Q96Q05-3;H0YBR0,TPPC9_HUMAN,Q96Q05;Q96Q05-2,Trafficking protein particle complex subunit 9
FBXW11,Cytoplasm,-1.58107,-1.59182,-1.88207,-2.54862,1.62905,-1.22085,-1.79993,-1.53935,-3.62403,-2.253,-1.94111,-1.30453,Q9UKB1;Q9UKB1-2;Q9UKB1-3;E5RGC1,FBW1B_HUMAN,Q9UKB1;Q9UKB1-2;Q9UKB1-3,F-box/WD repeat-containing protein 11
GABARAP,Cytoplasm,-0.893113,-1.23401,-1.17327,-2.37551,1.04596,-1.16435,-1.44119,-3.03326,-2.70182,-2.14092,-1.24752,-1.65573,Q9H0R8;O95166;F5GZY7;H6UMI1;Q9H0R8-2,GBRAP_HUMAN,O95166,Gamma-aminobutyric acid receptor-associated protein
ARPC1A;ARPC1B,Cytoplasm,-1.01465,-1.1291,-2.21777,-2.02495,1.69226,-1.43292,-1.6997,-3.37834,-3.07283,-1.96424,-2.08109,-1.88788,Q92747;O15143;C9K057;Q92747-2;C9JEY1;E9PF58;A0A1W2PNV4,ARC1A_HUMAN;ARC1B_HUMAN,O15143;Q92747,Actin-related protein 2/3 complex subunit 1B
ARPC1B,Cytoplasm,-1.12131,-1.00907,-2.1613,-2.08502,1.58461,-1.54195,-1.31357,-3.93097,-3.09018,-1.99234,-2.10017,-1.92178,O15143;C9K057;C9JEY1;A0A1W2PNV4,ARC1B_HUMAN,O15143,Actin-related protein 2/3 complex subunit 1B
SNX6,Cytoplasm,-1.87103,-1.41754,-1.63259,-3.12777,0.0381797,-1.86473,-0.701801,-1.54763,-4.1066,-2.58634,-0.137528,-0.688453,Q9UNH7;Q9UNH7-2;A0A0A0MRI2,SNX6_HUMAN,Q9UNH7,Sorting nexin-6
M6PR,endosome-vesicle,0.823038,-1.24425,-0.698031,-3.25235,-1.70561,-1.08446,-2.79296,-1.43057,-2.61441,-3.26867,-1.07294,-1.24664,P20645;F5GXE0;F5GX30;F5GXU0;F5H883,MPRD_HUMAN,P20645,Cation-dependent mannose-6-phosphate receptor
TAX1BP1,endosome-vesicle,0.439391,-2.0757,-0.96657,-3.46174,-1.5851,-1.62395,-1.96153,-1.62719,-1.45752,-2.83349,-1.26279,-1.23544,Q86VP1;Q86VP1-2;C9J7J4;F8WBU9;C9JBZ7;B8ZZD4,TAXB1_HUMAN,Q86VP1;Q86VP1-2,Tax1-binding protein 1
ATP9A,endosome-vesicle,0.329349,-2.1203,-1.04169,-2.07901,-1.40459,-1.1871,-1.84736,-1.46971,-2.54517,-3.09098,-1.442,-1.33091,O75110;O75110-2;A0A0A0MR22,ATP9A_HUMAN,O75110;O75110-2,Probable phospholipid-transporting ATPase IIA
ATP9A,endosome-vesicle,0.88055,-1.95166,-1.12963,-2.91418,-1.55891,-1.29907,-2.03435,-1.37865,-2.24614,-3.11126,-1.27018,-1.30795,O75110,ATP9A_HUMAN,O75110,Probable phospholipid-transporting ATPase IIA
ATP6V1B2,endosome-vesicle,0.127243,-0.468767,-1.53357,-3.41812,-1.59339,-1.53399,-1.99518,-2.28064,-1.92263,-2.55394,-1.12303,-1.17224,P21281;H0YC04,VATB2_HUMAN,P21281,"V-type proton ATPase subunit B, brain isoform"
AP1G1,endosome-vesicle,0.777059,-0.936822,-1.84985,-4.51425,-1.47088,-1.12745,-2.08651,-1.62357,-2.17542,-2.71246,-0.951221,-1.2415,O43747;O43747-2,AP1G1_HUMAN,O43747;O43747-2,AP-1 complex subunit gamma-1
ABCA2,endosome-vesicle,0.217715,-0.570846,-0.79462,-2.08439,-1.74452,-1.26131,-2.52478,-2.4109,-3.01237,-3.02104,-1.32232,-1.304,Q9BZC7;H0Y8D6;Q9BZC7-2;Q9BZC7-3;Q9BZC7-4;A0A087WXK5,ABCA2_HUMAN,Q9BZC7;Q9BZC7-3;Q9BZC7-4,ATP-binding cassette sub-family A member 2
STAM;STAM2,endosome-vesicle,0.23691,-1.41132,-1.38996,-1.89662,-0.485505,-1.56199,-1.27071,-2.92443,-2.94047,-2.05245,-1.76084,-1.34984,Q92783;O75886;Q92783-2;O75886-2,STAM1_HUMAN;STAM2_HUMAN,O75886;Q92783;Q92783-2,Signal transducing adapter molecule 2
STAM2,endosome-vesicle,0.299882,-1.79297,-0.306707,-2.17561,-0.153942,-1.63549,-0.934507,-3.01858,-3.66968,-2.12208,-1.91673,-1.29332,O75886;O75886-2,STAM2_HUMAN,O75886,Signal transducing adapter molecule 2
HGS,endosome-vesicle,0.740878,-0.199325,-1.31676,-2.69276,-1.08231,-1.36674,-1.20139,-2.91426,-3.24688,-2.08391,-1.7144,-1.36369,O14964;O14964-2;A0A7I2YQD1;I3L1P5;I3L1E3;A0A7I2V6E0;A0A7I2V2D8;A0A7I2V307;A0A7I2V2K2;A0A7I2V2R9;A0A7I2V2W5;A0A7I2V3I8;A0A7I2V3J3;A0A7I2V3Z1;A0A7I2V4M9;A0A7I2V5A2;A0A7I2V5A3;A0A7I2V637,HGS_HUMAN,O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate
SNX12;SNX3,endosome-vesicle,0.450087,-1.93234,-2.53611,-2.692,-0.494941,-0.989244,-1.30532,-2.80951,-1.85737,-2.00335,-1.69657,-1.59729,Q9UMY4;O60493;Q9UMY4-1;A0A087X0R6;O60493-3,SNX12_HUMAN;SNX3_HUMAN,O60493;Q9UMY4;Q9UMY4-1,Sorting nexin-3
SNX3,endosome-vesicle,1.17469,-1.57645,-2.88005,-2.93892,-0.858144,-1.12109,-1.399,-2.97526,-1.48197,-2.02892,-1.47173,-1.62717,O60493;O60493-3;O60493-4,SNX3_HUMAN,O60493,Sorting nexin-3
TOLLIP,Cytoplasm,0.0838998,-1.96992,-2.43715,-3.15439,0.640811,-1.6315,-1.13412,-2.08398,-3.53384,-2.42384,-1.13535,-1.25188,Q9H0E2;E9PQ25;E9PP67;E7EN89;Q9H0E2-2;F2Z2Y8,TOLIP_HUMAN,Q9H0E2,Toll-interacting protein
SNX5;SNX6,Cytoplasm,-0.51131,-1.08922,-3.09741,-2.71492,0.578102,-1.67228,-1.17434,-2.91456,-3.61141,-2.30226,-1.74111,-1.3844,Q9Y5X3;Q9UNH7;H0YJF8;G3V5X9;G3V4Z5;G3V2U1;A0A0A0MRI2;Q5QPE4;Q5QPE5,SNX5_HUMAN;SNX6_HUMAN,Q9UNH7;Q9Y5X3,Sorting nexin-6
FAM114A2,Cytoplasm,-0.95815,-1.40788,-3.27528,-2.94086,0.411881,-1.71622,-1.0291,-3.04604,-3.35678,-2.11808,-1.58038,-0.471863,Q9NRY5;E5RGF9;E5RHI8;E5RHP2;E5RFK2,F1142_HUMAN,Q9NRY5,Protein FAM114A2
SEC13,Cytoplasm,-0.331079,-1.26807,-3.20442,-2.33008,0.400314,-1.40086,-1.46382,-2.39309,-2.85607,-1.98913,-1.41537,-2.10782,P55735,SEC13_HUMAN,P55735,Protein SEC13 homolog
ZFYVE16,Cytoplasm,-1.73341,-1.33656,-2.55982,-1.60378,0.196004,-1.51232,-0.563215,-2.49184,-3.10888,-2.08723,-0.990843,-1.44361,Q7Z3T8;Q7Z3T8-3,ZFY16_HUMAN,Q7Z3T8,Zinc finger FYVE domain-containing protein 16
SEC24A,Cytoplasm,-1.9441,-1.80586,-2.42202,0.313102,0.658106,-1.72044,-0.69109,-2.77728,-3.82714,-2.22718,-1.20858,-0.762941,O95486;O95486-2,SC24A_HUMAN,O95486,Protein transport protein Sec24A
VLDLR,protein-complex,-1.84338,0.210743,-0.962306,-1.5172,-1.40342,-1.43292,-1.40099,-2.58511,-2.68366,-2.27943,-0.770186,-1.36438,P98155;A0A7P0T9P7;A0A804CHQ2;A0A7P0T8N6;A0A7P0T897;A0A7P0TBI2;A0A7P0TB10;P98155-2,VLDLR_HUMAN,P98155;P98155-2,Very low-density lipoprotein receptor
ARL8A;ARL8B,Lysosome,-0.947479,-2.65537,-1.3784,-1.67276,-1.95663,-1.99126,-1.3965,-1.96484,0.371318,-2.02969,-1.40612,-1.05527,Q9NVJ2;Q96BM9,ARL8A_HUMAN;ARL8B_HUMAN,Q96BM9;Q9NVJ2,ADP-ribosylation factor-like protein 8A
ARL8A,Lysosome,-1.32769,-2.97896,-1.64408,-2.1751,-2.01839,-1.927,-1.30982,-1.82035,0.743882,-2.20508,-1.13614,-1.12175,Q96BM9;A0A087X2J2,ARL8A_HUMAN,Q96BM9,ADP-ribosylation factor-like protein 8A
GABARAP;GABARAPL2,endosome-vesicle,0.25404,-1.02741,-2.26872,-1.97332,-1.0116,-1.58643,-1.257,-2.42525,-1.73788,-2.35084,-0.613678,-1.31802,Q9H0R8;O95166;P60520;H3BSM5;F5GZY7;H6UMI1;Q9H0R8-2,GBRAP_HUMAN;GBRL2_HUMAN,O95166;P60520,Gamma-aminobutyric acid receptor-associated protein
MEGF9,ER,-1.17121,-2.36321,-1.16903,0.18183,-1.69406,-1.93915,-1.402,-1.99312,-1.28603,-1.56695,-1.15508,-1.31594,Q9H1U4,MEGF9_HUMAN,Q9H1U4,Multiple epidermal growth factor-like domains protein 9
TMEM63B,Cytoplasm,-1.39999,-2.13355,-0.213081,-1.58161,0.816846,-2.16179,-1.44438,-2.54847,-2.79094,-2.52667,-1.86281,-1.32671,Q5T3F8;H0YCP6;H3BLW6;Q5T3F8-2;Q5T3F8-3,CSCL2_HUMAN,Q5T3F8,CSC1-like protein 2
LMBRD2,PM,-1.55876,-1.67261,0.326894,-2.02425,-0.53847,-1.50433,-2.31578,-2.06626,-1.43795,-2.78061,-1.91553,-1.12331,Q68DH5,LMBD2_HUMAN,Q68DH5,G-protein coupled receptor-associated protein LMBRD2
RAB4A,Golgi apparatus,-1.8648,-1.81345,-0.61688,-1.57415,-0.00947691,-1.72544,-1.34062,-2.45944,-1.11415,-2.61607,0.017254,-1.18894,P20338,RAB4A_HUMAN,P20338,Ras-related protein Rab-4A
MIB1,ER,-0.897911,-2.83371,-1.21161,0.44553,-1.22335,-1.33199,-1.32051,-1.95278,-2.15316,-3.21644,-1.43428,-1.22107,Q86YT6,MIB1_HUMAN,Q86YT6,E3 ubiquitin-protein ligase MIB1
VPS39,ER,-1.11947,-2.6665,-1.21996,0.227682,-1.37535,-1.68131,-1.46056,-1.79196,-2.57314,-3.3493,-1.11928,-1.14286,Q96JC1;Q96JC1-2,VPS39_HUMAN,Q96JC1-2,"Isoform of Q96JC1, Isoform 2 of Vam6/Vps39-like protein"
STEAP3,PM,-1.34935,-2.45536,0.0920039,-1.24568,-0.87555,-2.23719,-1.37706,-1.79507,-3.04913,-2.76332,-1.14046,-1.24235,Q658P3;Q658P3-2;Q658P3-3;Q658P3-4;B8ZZX6,STEA3_HUMAN,Q658P3,Metalloreductase STEAP3
FMNL1;FMNL2;FMNL3,PM,-1.09317,-2.26715,0.0467214,-0.890325,-1.03876,-1.99365,-1.30101,-1.77708,-2.68921,-2.11878,-1.26593,-0.992319,Q8IVF7;Q96PY5;O95466;C9IZY8;K7EJE6;Q8IVF7-2;Q8IVF7-3;Q96PY5-3;F8W1F5;O95466-2;O95466-3;K7EK60,FMNL1_HUMAN;FMNL2_HUMAN;FMNL3_HUMAN,O95466;O95466-2;O95466-3;Q8IVF7;Q96PY5;Q96PY5-3,Formin-like protein 1
DENND10,PM,-0.632698,-1.16832,0.354892,-3.08894,-1.25935,-1.80851,-1.66793,-2.04685,-3.61157,-3.02515,-1.10401,-0.996271,Q8TCE6;Q6NSW5;Q8TCE6-2;A0A3B3IRE4,DEN10_HUMAN,Q8TCE6,DENN domain-containing protein 10
LNPEP,PM,-1.31884,-2.52655,1.37096,-1.63081,-1.30609,-1.9517,-1.59922,-2.44962,-3.05159,-2.84917,-1.26561,-1.04152,Q9UIQ6;Q9UIQ6-2;Q9UIQ6-3,LCAP_HUMAN,Q9UIQ6,Leucyl-cystinyl aminopeptidase
SNX27,PM,-0.938404,-2.24806,0.744227,-1.84553,-1.41249,-1.80924,-1.61196,-1.72773,-3.71995,-3.33397,-1.34977,-1.07948,Q96L92;A0A2R8Y8A7;A0A2R8Y3S6;A0A5H1ZRP6;Q96L92-2;Q96L92-3,SNX27_HUMAN,Q96L92,Sorting nexin-27
TFRC,PM,-0.825748,-2.67293,1.00458,-2.05828,-1.52341,-1.91799,-1.5991,-1.90068,-3.10445,-3.1701,-1.34399,-1.07683,P02786;G3V0E5;A0A8V8TM41;A0A8V8TM46;A0A8V8TN37;A0A8V8TLM6;A0A8V8TLN0,TFR1_HUMAN,P02786,Transferrin receptor protein 1
TPBG,PM,-0.917555,-2.42631,0.774308,-2.00284,-1.25174,-1.99082,-1.30016,-1.79708,-3.4429,-2.52451,-1.20753,-1.05637,Q13641,TPBG_HUMAN,Q13641,Trophoblast glycoprotein
ECE1,PM,-0.786039,-2.43206,0.312949,-2.15144,-1.31933,-1.93787,-1.29154,-1.81429,-3.28618,-2.67456,-1.1439,-1.11497,P42892;P42892-2;P42892-3;P42892-4;B4DKB2;A0A3B3ISF9,ECE1_HUMAN,P42892;P42892-4,Endothelin-converting enzyme 1
MRC2,PM,-0.795614,-2.65211,0.416045,-1.88201,-1.58348,-2.05176,-1.42857,-1.75928,-3.06797,-2.61251,-1.22323,-1.06085,Q9UBG0,MRC2_HUMAN,Q9UBG0,C-type mannose receptor 2
MYOF,PM,-0.750833,-2.62784,0.129002,-1.96197,-1.44668,-2.06612,-1.33251,-1.77475,-2.78735,-2.51865,-1.19835,-1.07379,Q9NZM1;Q9NZM1-5;Q9NZM1-6;Q9NZM1-2,MYOF_HUMAN,Q9NZM1;Q9NZM1-6,Myoferlin
LDLR,PM,-0.700481,-2.63114,0.229319,-2.27956,-1.31722,-2.04101,-1.41886,-1.86381,-2.38053,-2.68665,-1.21184,-1.09566,P01130;J3KMZ9;H0YMD1;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6,LDLR_HUMAN,P01130;P01130-3,Low-density lipoprotein receptor
VPS45,PM,-0.917058,-2.54371,0.154946,-2.04578,-1.34804,-1.95842,-1.36514,-1.94186,-2.83382,-2.83518,-0.955261,-1.09104,Q9NRW7;A0A2R8YE10;A0A2R8YD95;A0A2R8YEX8;B7Z7G7;A0A1B0GXI6;A0A8V8TNB6;A0A8V8TNE7;A0A8V8TNF0;A0A8V8TNF5;A0A8V8TNM6;A0A8V8TNQ5;A0A8V8TNR0;A0A8V8TLU0;A0A8V8TLW3;A0A8V8TLX3;A0A8V8TLZ5;A0A8V8TMC6;A0A8V8TMD1;A0A8V8TMF8;A0A8V8TMG3;A0A8V8TMG7;A0A8V8TMH2;A0A8V8TM00;A0A8V8TM05;A0A8V8TM10,VPS45_HUMAN,Q9NRW7,Vacuolar protein sorting-associated protein 45
STX6,PM,-0.823821,-2.59068,0.184654,-2.14748,-1.34723,-1.93717,-1.43445,-1.89886,-2.67782,-2.95124,-1.08425,-1.18055,O43752,STX6_HUMAN,O43752,Syntaxin-6
MYOF,PM,-1.01027,-2.71441,0.279636,-1.61611,-1.23028,-2.04306,-1.40059,-1.83884,-2.4255,-2.75069,-1.19215,-1.07367,Q9NZM1;Q9NZM1-6;Q9NZM1-2;Q9NZM1-3;H0YD14,MYOF_HUMAN,Q9NZM1;Q9NZM1-3;Q9NZM1-6,Myoferlin
RAB11FIP5,PM,-1.16942,-2.69021,0.428735,-0.932457,-1.70089,-1.99628,-1.53787,-1.66421,-3.98636,-2.99648,-1.11704,-1.08555,Q9BXF6;A0A1B0GTL5,RFIP5_HUMAN,Q9BXF6,Rab11 family-interacting protein 5
ATP11C,PM,-1.57993,-2.83228,0.924796,-0.798601,-2.0129,-1.67739,-1.69042,-2.56075,-2.71542,-2.88971,-1.06241,-0.992594,Q8NB49;Q8NB49-2;Q8NB49-3;Q8NB49-4;A0A804HIW2;A0A067XG54,AT11C_HUMAN,Q8NB49-3,"Isoform of Q8NB49, Isoform 3 of Phospholipid-transporting ATPase IG"
ATP11C,PM,-1.09976,-3.21315,0.929554,-1.11895,-2.06798,-1.95381,-1.43837,-2.21955,-2.95156,-2.62321,-1.29719,-1.03108,A0A804HIW2;A0A067XG54,A0A067XG54_HUMAN;A0A804HIW2_HUMAN,A0A067XG54;A0A804HIW2,"Isoform of Q8NB49, Phospholipid-transporting ATPase"
TPR,Nucleus,-2.22268,-2.55511,-1.76261,-2.46258,-1.71935,-2.64277,1.69285,-1.51472,-4.21149,-2.30554,-1.90668,-1.51166,P12270;P12270-2,TPR_HUMAN,P12270,Nucleoprotein TPR
TRIM22,Translation,-1.26444,-3.17843,-3.9859,-2.51813,-1.43158,-2.14695,-0.276801,1.30313,-3.52043,-2.11161,-1.52606,-1.44203,Q8IYM9;C9JWC5;C9JIU5;Q8IYM9-2;H7BZD3;A0A8V8TP25;A0A8V8TN39,TRI22_HUMAN,Q8IYM9,E3 ubiquitin-protein ligase TRIM22
PIK3C3,ER,-1.5578,-0.942568,-2.90306,0.829524,-1.809,-2.22253,-1.17441,-0.887824,-4.50644,-3.01028,-1.27198,-1.33277,Q8NEB9;A8MYT4,PK3C3_HUMAN,Q8NEB9,Phosphatidylinositol 3-kinase catalytic subunit type 3
SPTBN1;SPTBN2,protein-complex,-2.48814,0.277885,-1.03369,-1.06998,-1.17772,-2.04672,-0.681538,-2.08782,-4.36876,-2.68054,-2.50553,-1.18429,O15020;Q01082;O15020-2;Q01082-2;Q01082-3;F8W6C1;A4QPE4;A0A087WUZ3;A0A087WYQ1,SPTB2_HUMAN;SPTN2_HUMAN,O15020-2;Q01082;Q01082-3,"Isoform of O15020, Isoform 2 of Spectrin beta chain, non-erythrocytic 2"
SPTBN1,protein-complex,-2.49845,0.300512,-1.01814,-0.625845,-1.03024,-2.09854,-1.12018,-2.10149,-4.77743,-2.55286,-2.61175,-1.21614,Q01082;Q01082-2;Q01082-3;F8W6C1;A0A087WUZ3,SPTB2_HUMAN,Q01082;Q01082-3,"Spectrin beta chain, non-erythrocytic 1"
SPTB;SPTBN1,protein-complex,-2.67887,0.275364,-1.14453,-0.607666,-0.952676,-2.47112,-1.12146,-1.58161,-4.64984,-2.60758,-2.70686,-1.25983,Q01082;P11277;Q01082-2;Q01082-3;F8W6C1;A0A087WUZ3;P11277-2;P11277-3,SPTB1_HUMAN;SPTB2_HUMAN,P11277;P11277-2;Q01082;Q01082-3,"Spectrin beta chain, erythrocytic"
SPTB;SPTBN1;SPTBN2,protein-complex,-2.6844,0.250814,-1.13475,-0.78055,-1.12008,-2.41176,-0.873377,-1.56271,-4.58141,-2.68225,-2.71486,-1.22284,O15020;Q01082;Q9H254;P11277;O15020-2;Q01082-2;Q01082-3;F8W6C1;Q9H254-2;Q9H254-4;M0QZQ3;A4QPE4;A0A087WUZ3;P11277-2;P11277-3;A0A087WYQ1,SPTB1_HUMAN;SPTB2_HUMAN;SPTN2_HUMAN,O15020-2;P11277;P11277-2;Q01082;Q01082-3,"Isoform of O15020, Isoform 2 of Spectrin beta chain, non-erythrocytic 2"
EXOC8,ER,-1.11109,-3.08073,-0.657611,0.172863,-1.43705,-1.45659,-1.35305,-1.95416,-3.44293,-3.46451,-1.37267,-1.06751,Q8IYI6,EXOC8_HUMAN,Q8IYI6,Exocyst complex component 8
CCT3,protein-complex,-2.17142,1.56162,-3.48301,-3.37101,-0.197083,-1.40203,-1.54764,-4.95256,-3.42385,-1.90373,-2.04622,-1.16629,P49368;B4DUR8;P49368-2;Q5SZW8;Q5SZX6;E9PRC8;E9PQ35,TCPG_HUMAN,P49368,T-complex protein 1 subunit gamma
CCT5,protein-complex,-2.59496,2.19556,-3.04487,-3.04109,-1.13242,-1.34818,-1.50489,-5.13332,-3.0593,-1.95778,-1.91545,-1.33156,P48643;P48643-2;E9PCA1;B7ZAR1;E7ENZ3,TCPE_HUMAN,P48643;P48643-2,T-complex protein 1 subunit epsilon
CCT2,protein-complex,-2.0436,2.37893,-3.5085,-3.18762,-1.56579,-1.4531,-1.35265,-5.28226,-3.39529,-2.08011,-2.08547,-1.1075,P78371;P78371-2;F8VQ14;F5GWF6,TCPB_HUMAN,P78371,T-complex protein 1 subunit beta
CCT4,protein-complex,-2.09882,2.31524,-3.51669,-3.13784,-1.50834,-1.43918,-1.26411,-5.28109,-3.38667,-2.05645,-2.19587,-0.996181,P50991;P50991-2,TCPD_HUMAN,P50991,T-complex protein 1 subunit delta
CCT8,protein-complex,-1.93212,1.29772,-3.41702,-3.46219,-0.961665,-1.38069,-1.6282,-5.57547,-3.20279,-1.97989,-1.98294,-1.24851,P50990;P50990-2;P50990-3;H7C4C8,TCPQ_HUMAN,P50990,T-complex protein 1 subunit theta
CCT5,protein-complex,-2.24275,1.51738,-3.14655,-3.22075,-0.980761,-1.36885,-1.50978,-5.64776,-3.13522,-1.978,-1.93057,-1.23675,P48643;E9PCA1;B7ZAR1,TCPE_HUMAN,P48643,T-complex protein 1 subunit epsilon
CCT7,protein-complex,-1.93825,1.69551,-3.27891,-3.05706,-1.30843,-1.3814,-1.22336,-5.53472,-3.35328,-2.07122,-2.14111,-1.01285,Q99832;Q99832-2;Q99832-3;Q99832-4,TCPH_HUMAN,Q99832;Q99832-2,T-complex protein 1 subunit eta
CCT7,protein-complex,-1.93825,1.69551,-3.27891,-3.05706,-1.30843,-1.3814,-1.22336,-5.53472,-3.35328,-2.07122,-2.14111,-1.01285,Q99832;Q99832-3;Q99832-4,TCPH_HUMAN,Q99832,T-complex protein 1 subunit eta
CCT6A;CCT6B,protein-complex,-2.1995,1.83853,-3.26553,-3.22958,-1.15753,-1.42111,-1.42592,-5.31921,-3.27467,-1.97512,-2.03722,-1.28428,P40227;Q92526;J3KRI6;P40227-2;Q92526-2,TCPW_HUMAN;TCPZ_HUMAN,P40227;Q92526-2,T-complex protein 1 subunit zeta
CCT6A,protein-complex,-2.18667,1.90567,-3.07585,-3.17377,-1.38629,-1.31902,-1.40124,-5.54573,-3.15979,-1.98064,-2.001,-1.33357,P40227;P40227-2,TCPZ_HUMAN,P40227,T-complex protein 1 subunit zeta
