T: T: Genes,C: Winner MOCK,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
RPS10,Translation,-1.74222,-1.31834,-3.51276,-2.37266,-1.18469,-2.17469,-1.51697,1.07622,-3.57477,-2.4784,-1.76575,-1.31563,P46783;A0A2R8Y7H1;A0A2R8YFH6;F6U211;S4R435;A0A1W2PQS6,RS10_HUMAN,P46783,40S ribosomal protein S10
RPS13,Translation,-1.71668,-1.60197,-3.89034,-2.25609,-1.18874,-1.79138,-1.37139,1.07056,-3.68993,-2.36511,-1.87245,-1.22921,P62277,RS13_HUMAN,P62277,40S ribosomal protein S13
RPS16,Translation,-1.72525,-1.48204,-4.06198,-2.17256,-1.33727,-1.8822,-1.4158,1.25844,-3.72194,-2.35156,-1.8152,-1.14758,P62249;M0R1M5;M0R3H0;Q6IPX4,RS16_HUMAN,P62249,40S ribosomal protein S16
RPS20,Translation,-1.61436,-1.57243,-3.98912,-2.27517,-1.36532,-1.71863,-1.48335,1.48589,-3.75303,-2.26919,-1.81643,-1.31216,P60866;A0A7P0S5H5;P60866-2;E5RJX2,RS20_HUMAN,P60866,40S ribosomal protein S20
RPL10;RPL10L,Translation,-1.55174,-1.80211,-3.8326,-2.62992,-1.3973,-1.92419,-1.44785,1.41473,-3.56602,-2.26218,-1.78634,-1.33966,P27635;Q96L21;F8W7C6;X1WI28;H7C2C5;H7C123,RL10L_HUMAN;RL10_HUMAN,P27635;Q96L21,60S ribosomal protein L10
RPS25,Translation,-1.4684,-1.96515,-3.62291,-1.88054,-1.41713,-1.75555,-1.4559,1.22216,-3.70525,-2.55869,-1.75295,-1.12402,P62851,RS25_HUMAN,P62851,40S ribosomal protein S25
RPS5,Translation,-1.59691,-1.43649,-3.92963,-1.67437,-1.21908,-1.79195,-1.78851,1.41469,-3.79796,-2.51237,-1.82636,-1.24141,P46782;M0R0R2;M0R0F0,RS5_HUMAN,P46782,40S ribosomal protein S5
RPSA,Translation,-1.56318,-1.58333,-3.67756,-2.09599,-1.29091,-1.86827,-1.7102,1.30957,-3.70287,-2.50401,-1.72307,-1.26838,A0A8I5KQE6;P08865;C9J9K3;A0A8V8TMX1;A0A8V8TMP3;A0A8V8TLA4;A0A0C4DG17,RSSA_HUMAN,P08865,40S ribosomal protein SA
EIF2A,Translation,-1.32443,-1.66501,-3.81728,-2.47215,-1.37848,-1.98598,-1.78759,1.19869,-3.72432,-2.41481,-1.40332,-1.33358,Q9BY44;F8WAE5;Q9BY44-2;Q9BY44-3;Q9BY44-4;H7C5R5,EIF2A_HUMAN,Q9BY44,Eukaryotic translation initiation factor 2A
EIF4G1;EIF4G3,Translation,-1.32629,-1.76539,-4.31349,-2.27343,-1.45395,-2.05274,-1.62911,1.17205,-3.8064,-2.30114,-1.24869,-1.19101,Q04637;O43432;C9J6B6;C9J2Z7;A0A8I5QJH9;A0A0U1RQK7;E7EX73;E7EUU4;A0A8J9G7U8;C9K073;O43432-3;O43432-4;C9JF13;A0A0A0MSA7;A0A7I2Y1C3;A0A804HJV5;Q04637-8;Q04637-9;Q04637-3;Q04637-4;Q04637-5;Q04637-6;Q04637-7;E9PGM1;A0A8I5KT99;A0A8I5KV92,IF4G1_HUMAN;IF4G3_HUMAN,O43432;O43432-3;Q04637-4;Q04637-5,Eukaryotic translation initiation factor 4 gamma 3
FARSB,Translation,-1.2973,-2.07876,-3.78506,-1.76891,-1.78183,-1.40316,-1.21497,1.59469,-3.57335,-2.19074,-1.10218,-1.60054,Q9NSD9,SYFB_HUMAN,Q9NSD9,Phenylalanine--tRNA ligase beta subunit
SRPK1,Translation,-1.02293,-2.15527,-3.97246,-1.7368,-1.85606,-1.27335,-1.25294,1.43719,-3.66382,-2.32119,-1.1042,-1.51757,Q96SB4;Q96SB4-3;Q96SB4-4;H3BLV9,SRPK1_HUMAN,Q96SB4,SRSF protein kinase 1
EIF2B4,Translation,-1.06477,-2.3691,-3.89495,-1.70135,-1.73081,-1.33225,-1.04369,1.42024,-3.5973,-2.25661,-1.3154,-1.47491,Q9UI10;E7ERK9;F8W8L6,EI2BD_HUMAN,Q9UI10,Translation initiation factor eIF-2B subunit delta
FARSA,Translation,-1.07069,-2.11946,-3.84759,-1.36031,-1.9518,-1.28101,-1.29373,1.55443,-3.71492,-2.41778,-1.11996,-1.34385,Q9Y285;Q9Y285-2;K7ER00,SYFA_HUMAN,Q9Y285,Phenylalanine--tRNA ligase alpha subunit
EIF3C,Translation,-1.23879,-1.56126,-3.71106,-1.6919,-1.68068,-1.34321,-1.27982,1.23405,-3.57687,-2.34589,-1.0863,-1.48986,Q99613;B5ME19;H3BTY8;H3BPE3;H3BPE4,EIF3C_HUMAN,Q99613,Eukaryotic translation initiation factor 3 subunit C
EIF2B4,Translation,-1.14038,-1.75058,-3.7559,-1.83878,-1.68352,-1.36446,-1.291,1.40222,-3.44769,-2.18051,-1.18141,-1.6401,Q9UI10;Q9UI10-2;Q9UI10-3;E7ERK9,EI2BD_HUMAN,Q9UI10;Q9UI10-2,Translation initiation factor eIF-2B subunit delta
EIF2B4,Translation,-0.936046,-1.27438,-3.71829,-1.80274,-1.46478,-1.12948,-1.29047,1.0668,-3.48149,-2.36503,-1.16128,-1.38447,Q9UI10-2;Q9UI10-3,EI2BD_HUMAN,Q9UI10-2,"Isoform of Q9UI10, Isoform 2 of Translation initiation factor eIF-2B subunit delta"
