WELL NAME;INFECTION 1;INFECTION 2;INFECTION 3;INFECTION 4;REINFECTION 1;REINFECTION 2;REINFECTION 3;REINFECTION 4;REINFECTION 5;REINFECTION 6
A1- MOCK;0;0;0,01;0,01;0;0;0;0;0;0
A2- MOCK;0;0;0;0;0;0;0;0;0;0
A3- MOCK;0;0;0;0;0;0;0;0;0;0
A4- MOCK;0;0;0;0;0;0;0;0;0;0
A5- MOCK;0;0;0,01;0;0,01;0;0;0;0;0
A6- MOCK;0;0;0;0;0;0;0;0;0;0
A7- inf;1,77;1,16;1,08;1,3;0,9;0,75;0,59;1,51;1,75;2,11
A8- inf;1,59;0,99;0,43;0,71;0,86;0,67;0,31;1,06;1,14;0,67
A9- PLK;1,41;0,62;0,89;0,78;0,59;0,7;0,11;0,49;0,14;0,97
A10- PLK;0,99;0,63;0,87;1,28;2,07;0,9;0,68;1,12;1,94;1,13
A11- PLK;1,57;0,74;0,92;1,12;0,83;0,6;0,37;1,08;1,31;1,84
A12- inf;0,55;0,25;0,62;0,74;1,03;0,43;0,26;0,71;0,15;0,16
B1- ACE2 (esterno);0,25;0,14;0,09;0,09;0,05;0,11;0,01;0,69;0,6;0,6
B2- SDPR;1,51;1,13;0,69;1,13;0,64;0,49;0,61;0,89;1,99;1,62
B3- CDH11;1,74;1,21;1,1;1,37;1,89;1,07;1,2;2,17;2,34;2,35
B4- PARP9;1,54;1,26;0,89;1,14;0,99;0,58;0,71;1,3;0,64;0,75
B5- SLC16A7;1,66;1,15;1,1;1,29;1,26;1,08;1,32;2,04;1,83;1,95
B6- GYG1;1,65;0,94;1,08;1,42;1,3;1,04;1,58;2,5;2,2;2,79
B7- GLA;1,9;1,29;1,39;1,5;1,31;1,41;1,49;1,85;1,87;2,13
B8- UBIAD1;2,08;1,24;1,46;1,61;2,71;1,81;1,29;1,82;1,41;2,09
B9- MAN2A1;1,83;1,16;1,23;1,27;2,55;1,56;1,18;1,49;0,75;1,64
B10- PPT1;1,62;0,79;1,04;1,46;0,76;0,73;0,36;0,75;0,53;2,3
B11- PI4K2B;1,52;0,86;0,6;0,82;0,67;0,24;0,18;0,15;0,31;0,05
B12- NT (esterno);1,29;1,02;1,14;1,38;0,94;0,78;1,14;0,7;1,01;0,79
C1- ACE2 (esterno);0,04;0,18;0,19;0,06;0,02;0,04;0,04;0,3;0,08;0,02
C2- ACSL1;1,32;1,16;1,25;1,47;2,41;1,56;1,75;2,11;2,86;2,94
C3- CTSL;1,3;0,56;0,28;0,57;0,32;0,51;0,63;0,37;0,16;0,21
C4- AGA;1,44;0,99;1,02;1,33;1,69;1,51;1,75;1,67;0,68;2,36
C5- ARL8A;1,76;1,21;1,21;1,28;1,3;0,97;1,23;0,96;1,11;2,17
C6- SOD2;1,55;0,63;0,84;0,95;0,32;1,11;1,39;0,88;1,05;2,12
C7- SRD5A3;0,78;1;0,5;0,97;0,22;0,59;0,86;0,62;0,02;1,05
C8- CRYZ;1,47;0,83;0,86;1,11;0,25;0,36;0,92;0,38;0,11;0,26
C9- ME2;1,59;1,08;1,11;1,39;0,98;0,58;1,1;0,92;0,65;2,5
C10- CASP4;1,26;0,83;0,65;0,78;0,08;0,02;0,42;0,17;0,25;0,68
C11- NT;0,92;1,18;1;1;0,72;0,79;1,06;0,58;0,97;1,41
C12- NT (esterno);1,11;1,05;0,77;0,86;0,15;0,19;0,03;0,45;0,01;0,4
D1- ACE2 (esterno);0,09;0,13;0,08;0,1;0,2;0,34;0,22;0,22;0,14;1,25
