T: T: Genes,C: Winner INF,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
ATP9B,endosome-vesicle,1.35094,-2.25396,-2.84956,-1.36148,-2.14977,-1.37045,-1.71185,-1.20163,-2.17223,-2.72967,-0.764148,-1.24585,O43861;O43861-2;K7EII3;K7ES39,ATP9B_HUMAN,O43861;O43861-2,Probable phospholipid-transporting ATPase IIB
STX16,Golgi apparatus,0.688401,-3.45601,-2.34428,-1.17542,-1.35252,-1.58365,-1.96456,-1.3337,-1.92192,-2.55937,0.774454,-0.950514,O14662;B7ZBM4;B7ZBM5;B7ZBM8;H0YEW0;F8W9Z6;O14662-2;O14662-3;O14662-4;O14662-5;O14662-6;Q96NX8;E9PND6;H3BU86,STX16_HUMAN,O14662;O14662-2;O14662-3;O14662-5,Syntaxin-16
SEC31A,endosome-vesicle,0.428518,-1.10581,-2.75169,-1.75479,-1.98941,-1.34755,-0.605497,-1.02157,-3.44931,-1.82371,-1.67351,-1.4766,D6REX3;H0Y9V3;O94979-7;H7BXG7,SC31A_HUMAN,O94979-7,"Isoform of O94979, Isoform 7 of Protein transport protein Sec31A"
SEC31A,endosome-vesicle,0.691853,-0.88383,-2.2287,-1.70161,-2.49986,-1.14167,-1.47116,-0.975575,-3.4514,-1.79884,-1.35447,-1.40317,O94979;D6REX3;D6RHZ5;H0YAB3;H0Y9K1;H0Y8V7;O94979-2;O94979-3;O94979-4;O94979-5;O94979-6;O94979-7;O94979-8;O94979-9;O94979-10;H7BXG7,SC31A_HUMAN,O94979;O94979-7,Protein transport protein Sec31A
SEC31A,endosome-vesicle,0.958094,-1.07254,-2.40641,-1.71412,-2.39195,-1.21901,-1.5058,-0.999443,-3.45636,-1.80939,-1.46657,-1.41476,O94979;D6REX3;D6RHZ5;O94979-2;O94979-3;O94979-8;O94979-9,SC31A_HUMAN,O94979,Protein transport protein Sec31A
SNX6,endosome-vesicle,0.943489,-0.522085,-3.2264,-1.32002,-1.94651,-1.68297,-2.2754,-1.04423,-2.72396,-2.10374,-1.87165,-1.37656,Q9UNH7;Q9UNH7-2;A0A0A0MRI2,SNX6_HUMAN,Q9UNH7,Sorting nexin-6
SNX1;SNX2,endosome-vesicle,0.694506,-1.41564,-2.71303,-1.13064,-1.7483,-1.90963,-2.11284,-1.30362,-3.28119,-2.05321,-1.47942,-1.49561,Q13596;O60749;H0YK42;O60749-2;Q13596-2;Q13596-3,SNX1_HUMAN;SNX2_HUMAN,O60749;O60749-2;Q13596;Q13596-3,Sorting nexin-2
SEC24A;SEC24B,endosome-vesicle,0.141213,-0.998798,-4.23682,-1.53276,-2.1617,-1.64708,-1.00247,-1.98166,-3.05401,-2.05858,-0.707746,-1.4903,O95487;O95486;O95487-2;O95487-3,SC24A_HUMAN;SC24B_HUMAN,O95486;O95487;O95487-2;O95487-3,Protein transport protein Sec24A
SEC24A,endosome-vesicle,1.20297,-0.611343,-3.58172,-1.67582,-2.13896,-1.79486,-1.2011,-2.16215,-3.46038,-1.96181,-1.49694,-1.5526,O95486;O95486-2,SC24A_HUMAN,O95486,Protein transport protein Sec24A
SNX2,endosome-vesicle,1.67412,-1.81564,-2.17941,-1.36684,-1.27134,-1.9391,-2.04133,-1.56333,-3.30475,-1.85345,-1.66203,-1.45132,O60749;D6RC15;O60749-2,SNX2_HUMAN,O60749;O60749-2,Sorting nexin-2
SNX1;SNX2,endosome-vesicle,0.590172,-1.37313,-1.82085,-1.49915,-0.913184,-1.67029,-1.89061,-1.59932,-3.30927,-1.79066,-1.74511,-1.40312,Q13596;O60749;H0YK42;O60749-2;Q13596-2,SNX1_HUMAN;SNX2_HUMAN,O60749;O60749-2;Q13596,Sorting nexin-2
SNX2,endosome-vesicle,0.723468,-1.88067,-1.99752,-1.47405,-0.0531295,-2.16714,-2.03644,-1.62281,-3.30673,-1.85073,-1.69544,-1.45032,O60749;D6RC15,SNX2_HUMAN,O60749,Sorting nexin-2
SNX12;SNX3,endosome-vesicle,0.627362,-1.26174,-2.71767,-1.60089,-0.21471,-1.768,-1.79941,-2.86665,-3.11352,-1.87684,-1.70649,-1.47257,Q9UMY4;O60493;Q9UMY4-1;A0A087X0R6;O60493-3,SNX12_HUMAN;SNX3_HUMAN,O60493;Q9UMY4;Q9UMY4-1,Sorting nexin-3
