T: T: Genes,C: Winner INF,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
DIABLO,Mitochondria,-1.9392,-2.00197,-1.27495,-2.41507,-1.05925,1.68581,-1.83758,-1.565,-3.78036,-1.98196,-2.28593,-1.34473,Q9NR28;A0A2U3TZH2;H7BZK7;Q9NR28-2,DBLOH_HUMAN,Q9NR28;Q9NR28-2,Diablo IAP-binding mitochondrial protein
AK3,Mitochondria,-1.85909,-2.1108,-1.30721,-2.45232,-0.999692,1.53617,-1.77112,-1.67533,-3.66552,-2.07658,-2.21124,-1.43154,Q9UIJ7;Q9UIJ7-2;Q9UIJ7-3,KAD3_HUMAN,Q9UIJ7,"GTP:AMP phosphotransferase AK3, mitochondrial"
ACOT13,Mitochondria,-1.91336,-2.09294,-1.27941,-2.5882,-1.02562,1.67125,-1.7281,-1.63332,-3.73104,-2.06452,-2.27656,-1.4214,Q9NPJ3,ACO13_HUMAN,Q9NPJ3,Acyl-coenzyme A thioesterase 13
SUCLG2,Mitochondria,-1.8447,-2.1779,-1.3026,-2.30529,-1.04477,1.40963,-1.70552,-1.73695,-3.63111,-2.00024,-2.1018,-1.45968,Q96I99;H0Y852;E9PDQ8;Q96I99-2,SUCB2_HUMAN,Q96I99;Q96I99-2,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial"
TUFM,Mitochondria,-1.9382,-1.98361,-1.205,-2.60521,-1.01165,1.67875,-1.79432,-1.48229,-3.98476,-2.12423,-2.50299,-1.35982,P49411,EFTU_HUMAN,P49411,"Elongation factor Tu, mitochondrial"
ACAA2,Mitochondria,-1.93719,-1.96077,-1.19091,-2.55641,-1.01351,1.56845,-1.77708,-1.47227,-3.96802,-2.12901,-2.49729,-1.35856,P42765;A0A0B4J2A4;K7EME0,THIM_HUMAN,P42765,"3-ketoacyl-CoA thiolase, mitochondrial"
IVD,Mitochondria,-1.92078,-2.22055,-1.19519,-2.61212,-1.0118,1.72675,-1.84608,-1.63949,-3.90525,-2.18541,-2.37796,-1.42259,P26440;A0A0S2Z4K7;P26440-2;H0YLC3;H0YKV0;A0A0A0MT83;H7C4G6,IVD_HUMAN,P26440,"Isovaleryl-CoA dehydrogenase, mitochondrial"
FDXR,Mitochondria,-1.89321,-2.11921,-1.21504,-2.8621,-1.00616,1.56662,-1.51189,-1.63573,-3.80779,-2.1262,-2.22688,-1.45592,P22570;P22570-2;P22570-3;P22570-4;P22570-5;P22570-6;P22570-7;A0A0A0MSZ4;A0A0A0MT64;A0A0A0MTN9;A0A0A0MTR6;J3QQX3;A0A0C4DGN7;A0A0C4DFN8,ADRO_HUMAN,P22570;P22570-6;P22570-7,"NADPH:adrenodoxin oxidoreductase, mitochondrial"
PDHB,Mitochondria,-1.91577,-2.02084,-1.24332,-2.94464,-1.02435,1.61975,-1.46894,-1.52458,-3.94231,-2.10537,-2.35577,-1.39559,P11177;C9J634;F8WF02;P11177-2;P11177-3,ODPB_HUMAN,P11177;P11177-2,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial"
HSD17B10,Mitochondria,-1.90346,-2.03131,-1.26479,-2.66515,-1.01102,1.54965,-1.6053,-1.5492,-3.83458,-2.0606,-2.3225,-1.39413,Q99714,HCD2_HUMAN,Q99714,3-hydroxyacyl-CoA dehydrogenase type-2
HIBADH,Mitochondria,-1.91639,-2.04479,-1.21394,-2.77684,-1.02153,1.55968,-1.58041,-1.52821,-3.94369,-2.12858,-2.39012,-1.39762,P31937,3HIDH_HUMAN,P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial"
TIMM44,Mitochondria,-1.89003,-2.04106,-1.25336,-2.68685,-1.00768,1.49667,-1.65733,-1.53659,-3.88622,-2.19006,-2.40652,-1.39103,O43615;M0QXU7,TIM44_HUMAN,O43615,Mitochondrial import inner membrane translocase subunit TIM44
PPIE;PPIF,Mitochondria,-1.98131,-1.61057,-0.733474,-2.66058,-1.12977,1.41998,-0.928671,-1.10084,-4.20828,-2.28871,-2.30362,-1.0937,P30405;Q9UNP9;Q9UNP9-2;Q9UNP9-3;E9PKY5;E9PEQ6,PPIE_HUMAN;PPIF_HUMAN,P30405;Q9UNP9,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
ATAD3A;ATAD3B,Mitochondria,-1.93213,-1.99698,-1.28265,-3.06998,-1.16018,1.26029,-1.07748,-1.54941,-4.42801,-2.38149,-2.57489,-1.30903,Q9NVI7;Q5T9A4;Q9NVI7-2;Q9NVI7-3;Q5T9A4-2;Q5T9A4-3;A0A5K1VW56,ATD3A_HUMAN;ATD3B_HUMAN,Q5T9A4;Q5T9A4-2;Q9NVI7-2,ATPase family AAA domain-containing protein 3B
MRPL23,Mitochondria,-1.87463,-1.84641,-1.24357,-3.10271,-1.01945,1.23912,-1.158,-1.32102,-4.32009,-2.22112,-2.58143,-1.31527,Q16540;A8MVT4;A8MYK1;A6NJD9;H7C2P7,RM23_HUMAN,Q16540,"39S ribosomal protein L23, mitochondrial"
COX4I1,Mitochondria,-1.85144,-1.80521,-1.25514,-3.12302,-1.04057,1.10891,-1.02503,-1.30154,-4.40233,-2.25443,-2.62985,-1.30786,P13073,COX41_HUMAN,P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"
GLS,Mitochondria,-1.82307,-1.9503,-1.09316,-2.94917,-1.01931,1.08708,-1.12482,-1.34035,-4.58391,-2.53868,-2.72042,-1.29799,O94925;O94925-3;H7BZD1,GLSK_HUMAN,O94925;O94925-3,"Glutaminase kidney isoform, mitochondrial"
LRPPRC,Mitochondria,-1.65537,-1.74951,-1.04899,-2.088,-1.05892,1.1338,-1.251,-1.25553,-4.74349,-2.53515,-2.67896,-1.1945,P42704;C9JCA9;A0A804HI14;A0A804HHY9;A0A804HI40;A0A804HIN4;A0A804HIQ7;A0A804HIV5;A0A804HIG4;A0A804HLG8;A0A804HK02;A0A804HJZ1;A0A804HJH8;A0A804HL40;A0A804HKR3;A0A804HKR5;A0A804HKX0;A0A804HKJ0;A0A804HKI2;B8ZZ38;A0A0C4DG06,LPPRC_HUMAN,P42704,"Leucine-rich PPR motif-containing protein, mitochondrial"
MRPL3,Mitochondria,-1.73239,-1.52665,-1.11586,-2.36272,-1.14006,1.23894,-1.24357,-1.06909,-4.71673,-2.32867,-2.70435,-1.15162,P09001;E7ETU7;H0Y9G6;E9PF06,RM03_HUMAN,P09001,"39S ribosomal protein L3, mitochondrial"
GRSF1,Mitochondria,-1.76489,-1.45497,-1.13177,-1.99323,-1.15458,0.494902,-1.3342,-1.21161,-4.8453,-2.47908,-2.91213,-1.18319,Q12849;Q12849-5;H0YAK1;H0YAM1;H0Y8R1,GRSF1_HUMAN,Q12849,G-rich sequence factor 1
SLC25A24,Mitochondria,-1.83679,-1.29108,-1.05656,-2.13854,-1.1322,0.708424,-1.54331,-1.08153,-4.71816,-2.28169,-2.81764,-1.14614,Q6NUK1;Q6NUK1-2,SCMC1_HUMAN,Q6NUK1,Calcium-binding mitochondrial carrier protein SCaMC-1
DLST,Mitochondria,-1.81477,-1.65351,-1.0894,-2.35052,-1.02762,0.799525,-1.49902,-1.21693,-4.60923,-2.41772,-2.87655,-1.25252,P36957;P36957-2,ODO2_HUMAN,P36957,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial"
ACADVL,Mitochondria,-1.72717,-1.54056,-1.10223,-2.06044,-1.04565,0.774855,-1.55103,-1.10693,-4.69407,-2.40287,-2.94668,-1.17637,P49748;J3KSR4;G3V1M7;P49748-3;P49748-2;J3QRJ8,ACADV_HUMAN,P49748;P49748-3,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"
SLC25A12;SLC25A13,Mitochondria,-1.76703,-1.70507,-1.0516,-2.1402,-1.02501,0.882282,-1.63811,-1.21675,-4.67673,-2.46855,-2.90486,-1.23252,O75746;Q9UJS0;O75746-2;Q9UJS0-2,S2512_HUMAN;S2513_HUMAN,O75746;Q9UJS0,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial"
ATAD3A;ATAD3B,Mitochondria,-1.97411,-1.91469,-1.21143,-2.10335,-1.14806,1.41806,-1.90603,-1.545,-4.32505,-2.27265,-2.67325,-1.27808,Q9NVI7;Q5T9A4;Q9NVI7-2;H0Y2W2;A0A5K1VW56,ATD3A_HUMAN;ATD3B_HUMAN,Q5T9A4;Q9NVI7-2,ATPase family AAA domain-containing protein 3B
HADHB,Mitochondria,-1.91384,-1.9603,-1.17276,-2.35302,-1.11316,1.46612,-1.73675,-1.44435,-4.2401,-2.21717,-2.66366,-1.32603,P55084;B5MD38;P55084-2;F5GZQ3,ECHB_HUMAN,P55084;P55084-2,"Trifunctional enzyme subunit beta, mitochondrial"
AGK,Mitochondria,-1.89812,-2.02646,-1.18379,-2.03033,-0.996729,1.11338,-1.96037,-1.3985,-4.06225,-2.34053,-2.74479,-1.31306,Q53H12;E9PC15;E9PG39;A0A3B3ISZ0;A0A3B3ISY9;A0A3B3ITD0;A0A0G2JLD0;A0A0G2JLG5,AGK_HUMAN,Q53H12,"Acylglycerol kinase, mitochondrial"
OCIAD1,Mitochondria,-1.87401,-1.70779,-1.08323,-2.07303,-1.00603,1.06101,-1.88391,-1.26566,-4.41833,-2.32411,-2.87489,-1.25838,Q9NX40;D6RIV2;D6RBN5;Q9NX40-4,OCAD1_HUMAN,Q9NX40,OCIA domain-containing protein 1
ATP5F1A,Mitochondria,-1.84897,-1.83225,-1.06015,-2.04259,-1.01452,1.18254,-1.93668,-1.29744,-4.45455,-2.39815,-2.86798,-1.27024,P25705;P25705-2;P25705-3;K7EK77;K7EJP1;K7EQH4;K7ERX7,ATPA_HUMAN,P25705;P25705-3,"ATP synthase subunit alpha, mitochondrial"
GLUD1,Mitochondria,-1.90226,-1.49716,-1.01426,-2.05757,-1.06171,1.06615,-1.92317,-1.18241,-4.48823,-2.33625,-2.88872,-1.20242,P00367;P49448;A0A804HJZ0;A0A804HJD7;A0A804HKE0;P00367-3,DHE3_HUMAN,P00367,"Glutamate dehydrogenase 1, mitochondrial"
LONP1,Mitochondria,-1.89457,-1.88737,-1.32824,-2.31298,-1.2196,1.3356,-1.40242,-1.65537,-4.40122,-2.22548,-2.62792,-1.27406,P36776;P36776-2;P36776-3;K7EJE8;K7EKE6;K7ER27,LONM_HUMAN,P36776;P36776-2,"Lon protease homolog, mitochondrial"
NIPSNAP1,Mitochondria,-1.846,-1.76148,-1.20406,-2.84908,-1.02685,1.40776,-1.3504,-1.2087,-4.46124,-2.32933,-2.78099,-1.23849,Q9BPW8;C9JDV8;H7C2U6,NIPS1_HUMAN,Q9BPW8,Protein NipSnap homolog 1
RMDN1,Mitochondria,-1.86785,-1.84077,-1.19579,-2.80483,-1.11176,1.34466,-1.30468,-1.32189,-4.45682,-2.31948,-2.72441,-1.2814,Q96DB5;H0YC67;H0YB83;H0YB03;E5RH53,RMD1_HUMAN,Q96DB5,Regulator of microtubule dynamics protein 1
GFM1,Mitochondria,-1.90193,-1.65222,-1.09191,-2.42608,-1.11594,1.03458,-1.48717,-1.31256,-4.50755,-2.39066,-2.68424,-1.26876,Q96RP9;Q96RP9-2,EFGM_HUMAN,Q96RP9,"Elongation factor G, mitochondrial"
ATP5F1B,Mitochondria,-1.87076,-1.76848,-1.11733,-2.38936,-1.00167,1.20972,-1.72295,-1.28124,-4.38715,-2.30591,-2.80637,-1.28141,P06576;H0YH81;F8W079,ATPB_HUMAN,P06576,"ATP synthase subunit beta, mitochondrial"
ALDH2,Mitochondria,-1.86333,-1.66983,-1.1536,-2.49078,-1.00308,1.30746,-1.65825,-1.23209,-4.41434,-2.22807,-2.8034,-1.25062,P05091;O94788;H0YMG7;H0YKL3;O94788-2;O94788-3;O94788-4;P05091-2;F8VP50,ALDH2_HUMAN,P05091,"Aldehyde dehydrogenase, mitochondrial"
HSPA9,Mitochondria,-1.86215,-1.7678,-1.14009,-2.66552,-1.01466,1.34182,-1.5525,-1.26139,-4.46311,-2.33987,-2.79914,-1.2656,P38646;D6RCD7;H0Y8K0;A0A3B3ITI4;A0A7I2YQB2;A0A7I2V2G2;A0A7I2V2S7;A0A7I2V3F7,GRP75_HUMAN,P38646,"Stress-70 protein, mitochondrial"
HADHA,Mitochondria,-1.89724,-1.79819,-1.16451,-2.63667,-0.99611,1.38305,-1.62645,-1.30697,-4.28456,-2.22906,-2.71867,-1.29569,P40939;A0A2R8Y4F5;H0YFD6,ECHA_HUMAN,P40939,"Trifunctional enzyme subunit alpha, mitochondrial"
CS,Mitochondria,-1.89085,-1.77672,-1.18429,-2.66209,-1.00568,1.20238,-1.48448,-1.30916,-4.26753,-2.20645,-2.67514,-1.30134,O75390;H0YIC4;B4DJV2;A0A0C4DGI3,CISY_HUMAN,O75390,"Citrate synthase, mitochondrial"
HTRA2,Mitochondria,-1.87399,-1.59609,-1.12616,-2.19927,-0.909858,1.73708,-1.71722,-1.19056,-4.24455,-1.95894,-2.54135,-1.17235,O43464;O43464-2;O43464-3;O43464-4;A0A8Q3SJ36;A0A8Q3SIX7;A0A0C4DG44,HTRA2_HUMAN,O43464;O43464-3,"Serine protease HTRA2, mitochondrial"
GTPBP10,Mitochondria,-2.03583,-1.2751,-1.17332,-2.4789,-1.41276,0.769008,-1.28326,-1.01447,-4.24337,-2.49868,-2.51581,-1.17403,A4D1E9;A4D1E9-2,GTPBA_HUMAN,A4D1E9,GTP-binding protein 10
POP4,Golgi apparatus,-0.596378,-0.188079,-2.82254,-3.50373,-1.46947,-0.922685,-1.64814,-1.36546,-3.34676,-1.84796,1.57317,-1.17929,O95707;K7EQV2,RPP29_HUMAN,O95707,Ribonuclease P protein subunit p29
DTX3L,PM,-0.984192,-1.73234,0.551923,-1.33328,-1.36115,-1.50135,-1.38612,-1.30021,-2.05979,-3.30952,-2.01261,-1.07573,Q8TDB6,DTX3L_HUMAN,Q8TDB6,E3 ubiquitin-protein ligase DTX3L
WDR18,Nucleus,-1.59206,-1.60975,-0.928295,-1.85566,-1.17313,-2.21103,0.658105,-1.63393,-0.823412,-0.885196,-1.71342,-1.09796,Q9BV38;K7EIR0;A0A0A0MQU0;U3KQC1,WDR18_HUMAN,Q9BV38,WD repeat-containing protein 18
TRMT6,Translation,-1.68405,-1.32641,-3.08612,-1.98562,-1.9627,-1.77168,0.400435,0.720977,-3.8248,-1.7134,-2.35836,-1.43523,Q9UJA5;Q9UJA5-2;Q9UJA5-3;Q9UJA5-4,TRM6_HUMAN,Q9UJA5,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
FAM98B,Translation,-1.64935,-0.441218,-2.96802,-2.06392,-1.43972,-1.61662,-0.964813,0.568377,-3.87589,-2.60056,-2.58275,-1.14863,Q52LJ0;Q52LJ0-1,FA98B_HUMAN,Q52LJ0,Protein FAM98B
BCL2L2,Translation,-2.08526,-2.07802,-2.31407,-1.9515,-1.82865,-1.17898,-0.563057,0.451196,-3.73745,-2.73361,-1.21579,-1.26632,Q92843;Q92843-2;G3V5A9;G3V4B7;G3V3B7;G3V3G8;A0A7I2V383,B2CL2_HUMAN,Q92843-2,"Isoform of Q92843, Isoform 3 of Bcl-2-like protein 2"
EIF4A3,Translation,-1.36594,-1.22084,-2.55161,-1.596,-1.51237,-1.18871,-1.23096,0.317478,-3.51553,-2.05593,-0.727803,-1.49189,P38919;I3L3H2,IF4A3_HUMAN,P38919,Eukaryotic initiation factor 4A-III
TARBP2,Translation,-1.42419,-1.23361,-2.20659,-1.40267,-1.51828,-1.70174,-1.99986,1.37407,-3.28919,-1.61419,-1.23318,-1.25652,Q15633;Q15633-2;F8VZ57;F8VZZ7;F8VYK3;F8VYK6;F8VTT7;F8VP94,TRBP2_HUMAN,Q15633-2,"Isoform of Q15633, Isoform 2 of RISC-loading complex subunit TARBP2"
DDX17;DDX3X;DDX3Y;DDX5,Translation,-1.67949,-1.73714,-1.91454,-2.00622,-1.75621,-0.991815,-1.20238,1.01193,-3.45934,-1.75331,-1.96232,-1.22113,O15523;P17844;Q92841;O00571;J3KRZ1;J3KTA4;A0A2R8Y7T2;A0A2R8Y4A4;A0A2R8Y645;A0A2R8Y5G6;A0A5H1ZRQ2;A0A1X7SBZ2;A0A2R8YDT5;A0A2R8YDH3;A0A2R8YCW1;A0A2R8YFS5;A0A2R8YFR4;A0A2R8YF78;A0A2U3TZJ9;F6S8Q4;Q92841-1;Q92841-2;Q92841-3;A0A0D9SG12;A0A0D9SF53;A0A0D9SFB3;O00571-2;P17844-2;J3QSF1;A0A0G2JLI4;O15523-2;A0A7I2V2S0;A0A7I2V507;A0A7I2V5F5,DDX17_HUMAN;DDX3X_HUMAN;DDX3Y_HUMAN;DDX5_HUMAN,O00571;O15523;P17844;Q92841;Q92841-3,ATP-dependent RNA helicase DDX3X
PRPF6,protein-complex,-1.69203,0.302505,-1.69672,-1.17727,-0.148029,-2.91291,-1.00219,-2.82236,-3.62901,-1.80253,-1.55343,-1.68629,O94906;O94906-2,PRP6_HUMAN,O94906,Pre-mRNA-processing factor 6
ARHGEF10,Cytoplasm,-1.29976,-1.35671,-1.83517,-1.02237,1.28208,-2.23295,-1.50091,-2.73865,-3.53225,-1.73721,-2.25156,-1.64533,O15013;E9PB39;H0YAN8;O15013-4;O15013-5;O15013-6;O15013-7,ARHGA_HUMAN,O15013;O15013-4;O15013-5;O15013-6;O15013-7,Rho guanine nucleotide exchange factor 10
MCM2,protein-complex,-1.91084,1.06196,-2.32456,-2.91107,-1.25327,-2.6207,-0.749534,-2.22662,-4.13063,-2.16336,-1.35442,-1.21753,P49736;H0Y8E6,MCM2_HUMAN,P49736,DNA replication licensing factor MCM2
EEF2;EFTUD2,Cytoplasm,-2.23266,-2.22999,-1.96556,-1.45198,1.23674,-0.981853,-1.60439,-0.814861,-3.523,-1.67147,-1.38927,-1.34125,P13639;Q15029;K7EJ74;Q15029-2;Q15029-3;K7EP67,EF2_HUMAN;U5S1_HUMAN,P13639;Q15029;Q15029-2,Elongation factor 2
DCLK1,Cytoplasm,-2.33645,-2.53647,-2.08221,-1.62972,1.57359,-1.24765,-1.19478,-0.77133,-3.52957,-1.67778,-1.31838,-1.26522,O15075;Q5VZY9;O15075-2,DCLK1_HUMAN,O15075;O15075-2,Serine/threonine-protein kinase DCLK1
SENP8,Cytoplasm,-1.78317,-1.76273,-1.8903,-1.24864,0.723687,-2.30773,-0.747336,-1.62825,-3.41556,-1.3988,-0.711251,-1.19859,Q96LD8;H3BTK5;H3BTJ8;H3BS71,SENP8_HUMAN,Q96LD8,Sentrin-specific protease 8
CASC3,Cytoplasm,-1.98731,-1.26697,-2.17858,-0.469011,0.0991128,-1.76881,-0.249628,-1.72742,-2.92127,-2.72911,-0.624291,-1.22217,O15234;J3KSY7,CASC3_HUMAN,O15234,Protein CASC3
EFTUD2,Mitochondria,-1.69856,-1.79966,-2.65152,-2.13487,-0.51976,0.523317,-0.318736,-1.89026,-3.8856,-2.02867,-1.38247,-1.28427,Q15029;Q15029-2;Q15029-3,U5S1_HUMAN,Q15029;Q15029-2,116 kDa U5 small nuclear ribonucleoprotein component
SUN2,Mitochondria,-1.7684,-0.918642,-1.34858,-0.921061,-1.51303,0.500673,-1.36363,-2.10491,-3.72975,-1.74109,-1.61429,-1.2232,Q9UH99;B0QY60;B0QY64;A0A8I5QKM0;Q9UH99-2;Q9UH99-3,SUN2_HUMAN,Q9UH99;Q9UH99-2,SUN domain-containing protein 2
POLR2H,Cytoplasm,-1.49594,-1.50407,-1.17848,-1.08844,0.134685,-0.269304,-1.4862,-2.10957,-3.21093,-1.74809,-1.62085,-1.51414,P52434;C9JLU1;P52434-3;P52434-4,RPAB3_HUMAN,P52434,"DNA-directed RNA polymerases I, II, and III subunit RPABC3"
MCM3AP,Cytoplasm,-1.3636,-0.930662,-2.18489,-1.71094,0.049698,-0.448846,-0.647134,-3.33786,-3.61647,-1.81693,-1.87213,-1.4183,O60318,GANP_HUMAN,O60318,Germinal-center associated nuclear protein
TRIP13,endosome-vesicle,0.355983,-0.55836,-1.71441,-1.61909,-1.49844,-1.74983,-1.76338,-2.20922,-3.55544,-1.72078,-1.40985,-1.38799,Q15645,PCH2_HUMAN,Q15645,Pachytene checkpoint protein 2 homolog
PRPF40A,Nucleus,-0.112222,-1.91672,-2.78696,-1.54322,-1.05266,-1.76798,0.576452,-2.78428,-3.71151,-1.85035,-1.32447,-1.38154,O75400;A0A7N4I394;O75400-2;A0A8V8TM61;A0A8V8TM87;A0A8Q3SIG7;F5H578,PR40A_HUMAN,O75400,Pre-mRNA-processing factor 40 homolog A
TRMT1L,Nucleus,-0.529827,-1.3447,-3.19687,-2.57414,-0.0212414,-2.0567,1.3512,-2.4889,-3.46838,-1.62712,-2.09093,-1.35207,Q7Z2T5,TRM1L_HUMAN,Q7Z2T5,TRMT1-like protein
MAGOH;MAGOHB,Nucleus,-1.04076,-0.582502,-2.57,-2.2292,-1.44876,-1.7707,0.620627,-2.46707,-3.71302,-2.07263,-1.2792,-0.960139,Q96A72;P61326;P61326-2;F5H6P7,MGN2_HUMAN;MGN_HUMAN,P61326;Q96A72,Protein mago nashi homolog
PRPF40A,Nucleus,-1.64626,0.0590993,-2.49375,-2.20923,-1.52293,-1.98849,0.785614,-2.47552,-3.80816,-1.98743,-1.36512,-1.35105,O75400;A0A7N4I394;H0YG38;O75400-2;O75400-3;A0A8V8TM61;A0A8V8TM87;A0A8Q3SIG7;F5H578,PR40A_HUMAN,O75400;O75400-3,Pre-mRNA-processing factor 40 homolog A
MAGOH,Nucleus,-2.31751,-1.60241,-2.75225,-1.80699,-1.62086,-0.890766,0.747302,-1.85442,-3.7692,-1.78303,-1.9487,-0.928197,P61326;P61326-2,MGN_HUMAN,P61326,Protein mago nashi homolog
MAGOHB,Nucleus,-2.05106,-1.41366,-2.23312,-1.42435,-0.130334,-0.817327,0.999446,-2.6207,-3.60233,-1.7173,-1.3398,-1.24828,Q96A72;F5H6N1;F5H124,MGN2_HUMAN,Q96A72,Protein mago nashi homolog 2
RBM14,Nucleus,-1.50264,-1.44609,-2.31014,-0.171028,-0.689674,-3.00077,0.0967545,-1.62229,-2.3839,-1.58141,-2.8507,-1.30886,Q96PK6;Q96PK6-2,RBM14_HUMAN,Q96PK6;Q96PK6-2,RNA-binding protein 14
DDX56,Nucleus,-1.50956,-1.40899,-2.61194,0.554631,-1.54168,-2.32616,0.770994,-3.18039,-4.10506,-2.05216,-2.05969,-0.614903,Q9NY93;F8WDT8;G3V0G3;Q9NY93-2;H7C3E9,DDX56_HUMAN,Q9NY93;Q9NY93-2,Probable ATP-dependent RNA helicase DDX56
SNW1,ER,-1.54974,-1.21124,-1.571,0.193679,-1.06884,-3.41033,-0.267474,-1.1558,-4.10664,-2.58411,-2.74567,-1.2497,Q13573;G3V4X8;G3V3A4,SNW1_HUMAN,Q13573,SNW domain-containing protein 1
FAM98A;FAM98B,ER,-1.35268,-0.931881,-1.75919,0.666324,-1.0391,-1.27425,-0.964234,-1.59079,-3.78432,-3.28712,-1.75468,-1.17712,Q52LJ0;Q8NCA5;A0A8I5QKV5;B4DT23;Q52LJ0-1;E9PH82;A0A8I5KR56;A0A8I5KZA5,FA98A_HUMAN;FA98B_HUMAN,Q52LJ0;Q8NCA5,Protein FAM98B
MTA2;MTA3,Nucleus,-1.204,-1.39324,-1.79134,-1.83401,-1.40096,-2.65419,1.70105,-1.56835,-3.44813,-2.13237,-1.09877,-1.3326,O94776;Q9BTC8;E7EV10;E7EQY4;F6RRE2;O94776-2;Q9BTC8-2;E9PCS8,MTA2_HUMAN;MTA3_HUMAN,O94776;Q9BTC8;Q9BTC8-2,Metastasis-associated protein MTA2
MTA1;MTA2;MTA3,Nucleus,-0.777709,-1.50532,-1.7206,-1.93178,-1.24007,-2.53659,1.47543,-1.61327,-3.43274,-2.10998,-0.886146,-1.32957,O94776;Q9BTC8;Q13330;Q13330-2;Q13330-3;E7EV10;E7EQY4;E7ESY4;F6RRE2;O94776-2;H0Y4T7;Q9BTC8-2;E9PCS8,MTA1_HUMAN;MTA2_HUMAN;MTA3_HUMAN,O94776;Q13330;Q13330-2;Q13330-3;Q9BTC8;Q9BTC8-2,Metastasis-associated protein MTA2
SAFB,Nucleus,-1.8567,-2.11158,-1.92469,-1.95953,-1.45853,-3.4558,2.09461,-1.47559,-4.00454,-3.09647,-1.43515,-1.24785,Q15424;Q15424-2;Q15424-3;Q15424-4,SAFB1_HUMAN,Q15424;Q15424-3;Q15424-4,Scaffold attachment factor B1
CTBP2,Nucleus,-1.90199,-1.86857,-1.47098,-2.54001,-0.029512,-3.51329,0.273796,-1.94783,-4.09737,-2.6009,-2.01742,-1.29041,P56545;P56545-2;P56545-3,CTBP2_HUMAN,P56545-2,"Isoform of P56545, Isoform 2 of C-terminal-binding protein 2"
GTF3C3,Nucleus,-1.5698,-1.95862,-1.90851,-2.63659,-0.760618,-3.03529,0.785781,-1.61547,-3.79488,-2.3029,-1.68178,-1.51358,Q9Y5Q9;H7C0C0;A0A494C1S7,TF3C3_HUMAN,Q9Y5Q9,General transcription factor 3C polypeptide 3
RBBP4,Nucleus,-1.9223,-1.49431,-1.94071,-1.32413,-0.634961,-2.91431,0.55961,-1.76623,-4.37033,-3.00854,-1.71667,-1.09962,Q09028;Q09028-2;Q09028-3;Q09028-4,RBBP4_HUMAN,Q09028;Q09028-3,Histone-binding protein RBBP4
HCFC1;HCFC2,Nucleus,-1.82202,-1.73361,-1.51689,-1.5796,-1.14355,-2.57795,0.845501,-1.12536,-4.14739,-2.63299,-1.52744,-1.16274,Q9Y5Z7;P51610;A6NEM2;H7C1C4;P51610-2;P51610-4,HCFC1_HUMAN;HCFC2_HUMAN,P51610-4;Q9Y5Z7,"Isoform of P51610, Isoform 4 of Host cell factor 1"
HDGF;HDGFL2;HDGFL3;PSIP1,Nucleus,-1.88937,-2.3164,-2.13072,-1.98654,-0.397969,-2.36151,0.304393,-2.32602,-3.85624,-2.05582,-1.5069,-1.39571,Q7Z4V5;P51858;Q9Y3E1;O75475;Q7Z4V5-2;Q7Z4V5-3;Q7Z4V5-4;O75475-2;O75475-3;H3BPQ6;M0R0J3,HDGF_HUMAN;HDGR2_HUMAN;HDGR3_HUMAN;PSIP1_HUMAN,O75475;P51858;Q7Z4V5;Q9Y3E1,PC4 and SFRS1-interacting protein
CTBP1;CTBP2,Nucleus,-1.98412,-2.18209,-2.28008,-1.56527,-1.01381,-2.73588,1.32041,-2.23365,-3.98004,-2.5069,-1.42235,-1.26854,P56545;Q13363;E7ESU7;D6RAX2;H0Y8U5;P56545-2;P56545-3;A0A087WYL1;Q13363-2,CTBP1_HUMAN;CTBP2_HUMAN,P56545-2;Q13363;Q13363-2,"Isoform of P56545, Isoform 2 of C-terminal-binding protein 2"
HDAC1,Nucleus,-1.83361,-2.06533,-2.22216,-1.58662,-0.426159,-2.79135,1.15023,-1.78712,-3.96565,-2.44924,-1.39879,-1.40359,Q13547,HDAC1_HUMAN,Q13547,Histone deacetylase 1
HDGFL2;HDGFL3,Nucleus,-2.04417,-2.33554,-2.22484,-1.71804,-1.08043,-1.96183,1.17058,-2.14415,-4.10052,-2.4373,-1.36673,-1.31239,Q7Z4V5;Q9Y3E1;Q7Z4V5-2;Q7Z4V5-3;Q7Z4V5-4;M0R0J3,HDGR2_HUMAN;HDGR3_HUMAN,Q7Z4V5;Q9Y3E1,Hepatoma-derived growth factor-related protein 2
